Frame,Chamber_1,Chamber_2,Chamber_3
0,1.0,1.0,100.0
1,1.0,1.0,99.67521284512642
2,1.0,1.0,98.51603817132913
3,1.0,1.0,96.23417354959852
4,1.0,1.0,92.54558005640833
5,1.0,1.0,87.20285174874003
6,1.0,1.0,80.03811125484047
7,1.0,1.0,71.01500644863395
8,1.0,1.0,60.28564405932099
9,1.0,1.0,48.24476364096966
10,1.0,1.0,35.56950513703506
11,1.0,1.0,23.229534187185607
12,1.0,1.0,12.450305208742193
13,1.0,1.0,4.613516032447588
14,1.0,1.0,1.0851469445537762
15,1.0,1.0,2.9743214302895784
16,1.0,1.0,10.845845109102603
17,1.0,1.0,24.43378850859027
18,1.0,1.0,42.42795063867712
19,1.0,1.0,62.421183839443685
20,1.0,1.0,81.10259408388417
21,1.0,1.0,94.74891566723153
22,1.0,1.0,99.99798412335055
23,1.0,1.0,94.78889180699608
24,1.0,1.0,79.2436850071215
25,1.0,1.0,56.18332397464431
26,1.0,1.0,30.96548098058804
27,1.0,1.0,10.448407733001485
28,1.0,1.0,1.138809760508655
29,1.0,1.0,6.931405422076153
30,1.0,1.0,27.181868779025603
31,1.0,1.0,56.00577460574592
32,1.0,1.0,83.4978344517907
33,1.0,1.0,98.94660446805347
34,1.0,1.0,95.19990494270313
35,1.0,1.0,72.46754952695849
36,1.0,1.0,39.534995104238405
37,1.0,1.0,11.033807301261115
38,1.0,1.0,1.113350544330938
39,1.0,1.0,15.999260471945023
40,1.0,1.0,49.36092349969431
41,1.0,1.0,83.92844684053176
42,1.0,1.0,99.94122827161463
43,1.0,1.0,86.78027935343846
44,1.0,1.0,50.96906588449851
45,1.0,1.0,14.311027713644263
46,1.0,1.0,1.2220856427105893
47,1.0,1.0,21.97495650429128
48,1.0,1.0,63.41579471283501
49,1.0,1.0,95.84917764782845
50,1.0,1.0,93.9834932214376
51,1.0,1.0,57.68926994630148
52,1.0,1.0,15.082172415390582
53,1.0,1.0,1.8530020271720997
54,1.0,1.0,30.80141752172271
55,1.0,1.0,77.73317194653504
56,1.0,1.0,99.99024341131708
57,1.0,1.0,75.37884941540834
58,1.0,1.0,26.163817566834176
59,1.0,1.0,1.0
